,id,name,artist,link,year,length
0,1,Father Stretch My Hands Pt. 1,Kanye West,https://open.spotify.com/track/4KW1lqgSr8TKrvBII0Brf8,2016,2:15
1,2,GANG GANG,JACKBOYS,https://open.spotify.com/track/6uJONCdr2rC65BNmCnTBWK,2019,4:04
2,3,Daddy's Birthday,Young Thug,https://open.spotify.com/track/347hgqCHnL4GfgVX5hZfNv,2017,3:28
3,4,Climax (feat. 6lack),Young Thug,https://open.spotify.com/track/4N9QsmvQJcGwJHAmDmBttU,2018,3:09
4,5,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m,2019,4:39
5,6,Millions,Young Thug,https://open.spotify.com/track/43YQDj1KOPMFAUcTEPKy4p,2019,2:37
6,7,With That (feat. Duke),Young Thug,https://open.spotify.com/track/6o4nVtywF4F75RkOcDxrtd,2015,3:22
7,8,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z,2018,3:25
8,9,Droppin Jewels,Young Thug,https://open.spotify.com/track/3q8Uyfo98yoEqByamJOIkJ,2021,3:38
9,10,Swang,Rae Sremmurd,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL,2016,3:28
10,11,Came and Saw (feat. Rowdy Rebel),Young Stoner Life,https://open.spotify.com/track/3GkEnNf2RWmdwkA2FfjQ3g,2021,2:54
11,12,Best Friend,Young Thug,https://open.spotify.com/track/33JcUj9qQDayKswunZP9ar,2015,3:33
12,13,Took Her To The O,King Von,https://open.spotify.com/track/7fEoXCZTZFosUFvFQg1BmW,2020,3:16
13,14,With Them,Young Thug,https://open.spotify.com/track/0tISnxqgVmxqhVghsTi2Rr,2016,3:17
14,15,No Role Modelz,J. Cole,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr,2014 Forest Hills Drive,4:52
15,16,Casper,Takeoff,https://open.spotify.com/track/1B4gJRq61xTs6r1O0Uq2iY,2018,3:17
16,17,Halftime,Young Thug,https://open.spotify.com/track/4BP0An7SXctTY4kF41JxIQ,2015,3:46
17,18,Wyclef Jean,Young Thug,https://open.spotify.com/track/55OdqrG8WLmsYyY1jijD9b,2016,3:56
18,19,ORANGE SODA,Baby Keem,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD,2019,2:09
19,20,Check,Young Thug,https://open.spotify.com/track/1jk9c0gZI0wbn5GvAj7PBV,2015,3:50
20,21,MIDDLE CHILD,J. Cole,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019,3:33
21,22,My wrist (with Young Thug),Yeat,https://open.spotify.com/track/2beD5W9IkefQ04IO39XF7w,2023,3:10
22,23,Broke In A Minute,Tory Lanez,https://open.spotify.com/track/4xqIYGwwZTEem9U8A42SPF,2020,2:12
23,24,Ransom,Lil Tecca,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,2019,2:11
24,25,500lbs,Lil Tecca,https://open.spotify.com/track/6rjuKpPydT2SxN15TZpV7r,2023,2:24
25,26,family ties (with Kendrick Lamar),Baby Keem,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN,2021,4:12
26,27,Lifestyle,Rich Gang,https://open.spotify.com/track/7DTlsMOQjGysXHpwwpHuPl,2014,4:29
27,28,Lord Pretty Flacko Jodye 2 (LPFJ2),A$AP Rocky,https://open.spotify.com/track/1j6kDJttn6wbVyMaM42Nxm,2015,2:06
28,29,LOT OF ME,Lil Tecca,https://open.spotify.com/track/2ZXxRC6V6AXzMdbLQZMHSB,2021,2:03
29,30,Digits,Young Thug,https://open.spotify.com/track/4cg1yakyRSIOjxKM2I7J1q,2016,2:56
